頻道名稱,頻道ID,傳送門,頻道加入時間,影片數,觀看次數,訂閱數,所屬
惡魔莉莉婭(AkumaLiliya)♡ ,UCShT1WUbN93UX01Ixxi0p-w,https://www.youtube.com/@akumaliliya,2021-10-13,143,125858,1300,
阿楓Maple,UCWvL58TUj8pjZxqTRd4JCAQ,https://www.youtube.com/@maple4442,2022-03-19,72,1755,89,
Furu Ch. 芙露 ,UC0wiZivSyCJAlofnsPtS25g,https://www.youtube.com/@furu1011,2021-06-13,95,9442,409,森羅異獸咖啡館
Tozenji You Ch.東禪寺 陽 2.0準備中,UCqj3lAs5AcFr38WmBQ4NxyA,https://www.youtube.com/@tozenjiyou,2022-01-01,105,17811,1270,
星野流星 ch.【HKVtuber】,UCkkmI-pPeHuqkrZwJVcTCpA,https://www.youtube.com/@hoshinoryuusei,2021-04-29,118,19933,291,
幕亞連 Maku ARen ch.,UC9lCPmtzBLoHP443E0p7jjQ,https://www.youtube.com/@makuarench.1114,2021-03-19,88,7189,200,
李翁 liweng Ch.,UCmZOl0AoNvgZFuCRuFdJTuQ,https://www.youtube.com/@liweng0821,2021-07-07,25,2386,376,異世界瘋食堂
阿露比 Aruby Ch.,UCsqUknuSgEZ2GTtDWv-f10Q,https://www.youtube.com/@arubylive,2020-12-16,326,421195,12800,
小夜Yoru Ch.,UCBpgX2OSYuX6keQf-Wls1MA,https://www.youtube.com/@yoru_yn,2021-09-13,69,1961,65,Epoch Studio
FuyukaRin Ch.冬華凜,UCzNRceCYIomBHAcdOJGCRAQ,https://www.youtube.com/@fuyukarinch.2758,2020-12-28,313,109597,5300,Mirolive
USAGIHIME CLUB.兔姬,UC0u_-3zgLkSYpQOxlBi-5Ng,https://www.youtube.com/@usagihime777,2007-10-29,440,3228737,84900,
Tora Ch. 雪見とら【HKVTuber】,UCzIX4jwtK5k5L3UPHwvBQfQ,https://www.youtube.com/@torayukimi,2021-04-01,233,148238,1940,
MHD魔化道,UCaGGQaMvzYLjOn1ooRpe9jA,https://www.youtube.com/@helenmhd,2008-01-25,52,1739766,24800,彩色學校
Kulala. Mia. TW-克拉拉米亞,UC2t7vx7iSljB4QWexBwt0Yw,https://www.youtube.com/@kulala.mia.tw-9462,2022-09-15,16,1348,142,
Butter Okada Ch. VA,UCgisFgcsx_mrVxXgazbJOQg,https://www.youtube.com/@butterokadava,2020-12-25,10,1472,939,ArkV
墮天使小闇Yami Ch.,UCvqipeBytPdue6nHR1y-l2w,https://www.youtube.com/@dark_angel_yami,2020-12-28,232,139781,3610,
吉恩哪天吃過藥,UCBI313vfa0ynUKpoFBj1NVg,https://www.youtube.com/@jinkusaka11,2019-02-22,103,3739,60,甘甜糖罐頭
🧡 波米塔塔 POMITATA 💚,UCAHUaf1t29Zo9nd0p38-DLg,https://www.youtube.com/@pomitata0506,2021-05-25,110,17629,1200,
藍莓夾心酥Blueberry Ch.,UC5X8cgvfbfRKwRu0OiZhyrg,https://www.youtube.com/@blueberrych.2788,2021-08-06,206,20986,814,
